Museum Name,Museum Type,Street Address (Physical Location),City (Physical Location),State (Physical Location),Zip Code (Physical Location),Latitude,Longitude,Income,Revenue
ALASKA AVIATION HERITAGE MUSEUM,HISTORY MUSEUM,,,,,61.17925,-149.97254,602912,550236
ALASKA BOTANICAL GARDEN,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,,,,61.1689,-149.76708,1379576,1323742
ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,,,,60.56149,-151.21598,740030,729080
ALASKA EDUCATORS HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,60.5628,-151.26597,0,0
ALASKA HERITAGE MUSEUM,HISTORY MUSEUM,,,,,61.17925,-149.97254,602912,550236
ALASKA HISTORICAL MUSEUM,HISTORIC PRESERVATION,,,,,61.21785,-149.85049,,
ALASKA JEWISH MUSEUM,GENERAL MUSEUM,1221 E 35TH AVENUE,ANCHORAGE,AK,99508,61.18946,-149.86071,2658938,34374
ALASKA LIGHTHOUSE ASSOCIATION,HISTORIC PRESERVATION,,,,,58.28299,-134.40583,16500,16500
ALASKA MASONIC LIBRARY AND MUSEUM FOUNDATION,GENERAL MUSEUM,606 W 4TH AVE,ANCHORAGE,AK,99519,61.21833,-149.89456,0,0
ALASKA MINING HALL OF FAME FOUNDATION,HISTORY MUSEUM,,,,,64.85079,-147.82945,184295,31393
ALASKA NATIONAL GUARD HISTORICAL HOLDING-MUSEUM,HISTORIC PRESERVATION,,,,,61.25315,-149.68711,,
ALASKA NATIVE HERITAGE CENTER,GENERAL MUSEUM,,,,,61.23361,-149.71566,4502727,4050394
ALASKA SEALIFE CENTER,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",301 RAILWAY AVENUE - PO BOX 1329,SEWARD,AK,99664,60.20885,-149.38716,,
ALASKA SPORTS HALL OF FAME,GENERAL MUSEUM,14815 ECHO CANYON RD,ANCHORAGE,AK,99516,61.08741,-149.6926,1370930,615273
ALASKA STATE MUSEUM,GENERAL MUSEUM,,,,,58.30048,-134.4148,182675,129192
ALASKA TERRITORIAL CAVALRY MOTORIZED,GENERAL MUSEUM,,,,,61.19007,-149.91195,0,0
ALASKA TROOPER MUSEUM,GENERAL MUSEUM,,,,,61.21765,-149.88622,769702,221807
ALASKA VETERANS MUSEUM,HISTORY MUSEUM,,,,,61.21406,-149.87855,0,0
ALASKA WILDLIFE CONSERVATION CENTER,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,,,,60.96435,-149.13368,3331564,2793744
ALASKA ZOO,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",4731 OMALLEY RD,ANCHORAGE,AK,99507,61.12476,-149.79254,3310088,2393748
ALASKALAND PIONEER AIR MUSEUM,GENERAL MUSEUM,,,,,64.84231,-147.72457,,
ALPINE HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,61.76392,-148.38192,157509,157509
ALUTIIQ HERITAGE ENDOWMENT,HISTORIC PRESERVATION,4300 B ST,ANCHORAGE,AK,99503,61.18152,-149.88518,331826,15734
ALUTIIQ HERITAGE FOUNDATION,GENERAL MUSEUM,,,,,57.78869,-152.4025,1103875,1055839
AMERICAN TROPHY TAXIDERMY,GENERAL MUSEUM,,,,,60.50184,-150.98965,,
ANCHORAGE CLAY ARTS GUILD,ART MUSEUM,,,,,61.18495,-149.89178,0,0
ANCHORAGE GENEALOGICAL SOCIETY,HISTORIC PRESERVATION,,,,,61.18495,-149.89178,8282,8282
ANCHORAGE HISTORIC PROPERTIES,HISTORIC PRESERVATION,,,,,61.21978,-149.89524,,
ANCHORAGE MUSEUM,GENERAL MUSEUM,625 C STREET,ANCHORAGE,AK,99501,61.21608,-149.8853,6851982,4116780
ARC GALLERY,ART MUSEUM,,,,,64.81712,-147.87837,,
BARANOV MUSEUM,HISTORIC PRESERVATION,,,,,57.7885,-152.39915,333248,288158
BRISTOL BAY HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,58.85984,-156.71037,0,0
BUNNELL STREET GALLERY,ART MUSEUM,,,,,59.64002,-151.54459,335104,335104
CAPE DECISION LIGHTHOUSE SOCIETY,HISTORIC PRESERVATION,,,,,57.05246,-135.3427,0,0
CAPE ST ELIAS LIGHTKEEPERS ASSOCIATION,HISTORIC PRESERVATION,,,,,60.07439,-147.99241,59819,59819
CARR-GOTTSTEIN GALLERY,ART MUSEUM,,,,,61.18889,-149.80347,66512448,63692296
CENTER FOR ALASKAN COASTAL STUDIES,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",708 SMOKEY BAY WAY,HOMER,AK,99603,59.64585,-151.52423,914275,908922
CHILDREN'S MUSEUM OF ALASKA,CHILDREN'S MUSEUM,,,,,61.11024,-149.86107,,
CHILKAT INDIAN VILLAGE,HISTORIC PRESERVATION,32 CHILKAT AVE,KLUKWAN,AK,99827,59.24675,-135.47365,0,0
CHILKAT VALLEY HISTORICAL SOCIETY,HISTORIC PRESERVATION,11 MAIN STREET,HAINES,AK,99827,59.24675,-135.47365,0,0
CHUGIAK-EAGLE RIVER HISTORICAL SOCIETY,HISTORIC PRESERVATION,18606 OLD GLENN HIGHWAY,CHUGIAK,AK,99567,61.38967,-149.47465,0,0
CIRCLE DISTRICT HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,65.34556,-145.14026,0,0
CLAUDIA KELSEY DOLL MUSEUM,GENERAL MUSEUM,114 S FRANKLIN ST SUITE #102,JUNEAU,AK,99801,58.3005,-134.40561,0,0
CLAUSEN MEMORIAL MUSEUM,HISTORY MUSEUM,203 FRAM ST,PETERSBURG,AK,99833,56.80634,-132.96963,86045,86045
COLONY HOUSE MUSEUM,GENERAL MUSEUM,,,,,61.59873,-149.11008,,
COPPER VALLEY HISTORICAL SOCIETY,HISTORIC PRESERVATION,101 LOOP RD,COPPER CENTER,AK,99573,61.92025,-145.38294,0,0
CORDOVA HISTORICAL SOCIETY,HISTORIC PRESERVATION,622 1ST ST,CORDOVA,AK,99574,60.07439,-147.99241,47693,34193
DENALI NATIONAL PARK AND PRESERVE,HISTORIC PRESERVATION,,,,,63.62586,-150.90305,1422621,1416741
DOG MUSHING MUSEUM,GENERAL MUSEUM,410 CUSHMAN STREET,FAIRBANKS,AK,99708,64.84166,-147.72054,,
DOROTHY G PAGE MUSEUM,GENERAL MUSEUM,,,,,61.58234,-149.44139,,
EAGLE HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,64.78917,-141.20294,16773,14657
EAGLE HISTORICAL SOCIETY OF ALASKA,HISTORIC PRESERVATION,3RD,EAGLE,AK,99738,64.78917,-141.20294,16773,14657
